brand, product_name, shipping
EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR| 8GB GDDR6,EVGA GeForce RTX 2070 SUPER BLACK GAMING| 08G-P4-3071-KR,$4.99 Shipping
GIGABYTE Geforce RTX 2060 OC GG Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD  Video Card,GIGABYTE Geforce RTX 2060 OC GG Graphics Card| 2 x WINDFORCE Fans| 6GB 192-Bit GDDR6| GV-N2060OC-6GD  Video Card,Free Shipping
ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,ASUS Dual GeForce RTX 2080 DirectX 12 DUAL-RTX2080-O8G-EVO Video Card,Free Shipping
EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,EVGA GeForce RTX 2070 XC GAMING| 08G-P4-2172-KR| 8GB GDDR6| Dual HDB Fans & RGB LED,Free Shipping
PowerColor Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DH 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DH Video Card,Free Shipping
ASUS TUF Gaming GeForce RTX 2060 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),ASUS TUF Gaming GeForce RTX 2060 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),Free Shipping
MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support ATX Video Card,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR 8G OC Video Card,Free Shipping
XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)| 100411P8GOCL,Free Shipping
GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD 4GB 256-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support ATX Video Card,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,Free Shipping
ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G 8GB 2048-Bit HBM2 PCI Express 3.0 x16 HDCP Ready Video Card,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G Video Card,Free Shipping
ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M 6GB 192-Bit GDDR5X PCI Express 3.0 HDCP Ready Video Card,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,$3.99 Shipping
